index,Address,Categories,City,Cuisines,Menu,Restaurants,Zip Code,Province,$,$$$
1223,78480 Highway 111,"Restaurant,Mexican Restaurant and Road,Mexican Restaurant,Road",La Quinta,Mexican,Burritos,Las Casuelas Quinta,92253,CA,50,55
1510,3450 N Lincoln Ave,Mexican Restaurant,Chicago,Family Style Restaurants,Burritos,Fernando's Restaurant,60657,IL,25,40
3914,40 Tramway Rd NE,Mexican Restaurant,Albuquerque,Mexican / Southwestern,Burritos,Sandiago's Mexican Grill,87122,NM,25,40
4511,779 Route 340,Mexican Restaurant,Palisades,Latin American Restaurants,Burritos,Zapata Mexican Restaurant,10964,NY,25,40
5254,1231 Eastchester Dr,"Mexican Restaurant and Burrito Place,Burrito Place,Mexican Restaurant,Fast Food Restaurants,Restaurants,Mexican Restaurants",High Point,Fast Food Restaurants,Burritos,Barberitos,27265,NC,25,40
6191,2834 W Cermak Rd,Mexican Restaurant,Chicago,"Mexican, Seafood",Burritos,La Casa de Samuel,60623,IL,25,40
6210,709 Gulf Way,"Mexican Restaurant,Mexican Restaurant Pass-a-Grille Beach",Saint Petersburg,Mexican Restaurants,Burritos,Pass-a-taco,33706,Saint Pete Beach,0,25
6211,709 Gulf Way,"Mexican Restaurant,Mexican Restaurant Pass-a-Grille Beach",Saint Petersburg,Mexican Restaurants,Burritos,Pass-a-taco,33706,Saint Pete Beach,0,25
7023,1735 W State Of Franklin Rd,"Pizza Place,Take Out Restaurants,Fast Food Restaurants,Restaurants,Pizza",Johnson City,Take Out Restaurants,Burritos,Domino's Pizza,37604,TN,0,25
7822,18589 N 59th Ave,"Seafood Restaurant,Seafood Restaurants,Caterers,Restaurants",Glendale,Seafood Restaurants,Burritos,Oscarâs Pier 83,85308,AZ,25,40
8619,5207 S Archer Ave,"Seafood Restaurant,Restaurant",Chicago,Contemporary American,Burritos,Los Delfines #2,60632,IL,0,30
9383,489 5th Ave,"Mexican Restaurant,Taco Place,Mexican Restaurant and Taco Place",Brooklyn,Mexican,Burritos,Tacos Nuevo Mexico,11215,NY,0,25
10931,2 S Main St,"Burrito Place,Restaurant",Watkinsville,Mexican,Burritos,Barberitos,30677,GA,0,25
11494,6150 W Cermak Rd,Mexican Restaurant,Cicero,Pub,Burritos,Camaleon,60804,IL,25,40
13746,1721 W Sunset Blvd,Mexican Restaurant,Los Angeles,Latin American Restaurants,Burritos,Rodeo Mexican Grill,90026,Edendale,25,40
14741,11233 Washington Blvd,Mexican Restaurant,Whittier,Restaurants,Burritos,Taqueria El Atacor,90606,CA,0,25
